utcdatetime,volume,quoteVolume,high,low,timestamp,close,weightedAverage,open
2016-10-11 04:00:00,8.41228169,11782199.0718,7.3e-07,7.1e-07,1476158400.0,7.1e-07,7.1e-07,7.2e-07
2016-10-11 08:00:00,6.0350194,8474694.45585,7.2e-07,7.1e-07,1476172800.0,7.1e-07,7.1e-07,7.1e-07
2016-10-11 12:00:00,5.42152517,7594448.99156,7.2e-07,7.1e-07,1476187200.0,7.1e-07,7.1e-07,7.1e-07
2016-10-11 16:00:00,10.49060878,14758117.8835,7.3e-07,7e-07,1476201600.0,7.1e-07,7.1e-07,7.1e-07
2016-10-11 20:00:00,8.84676754,12570958.2397,7.2e-07,7e-07,1476216000.0,7.1e-07,7e-07,7.1e-07
2016-10-12 00:00:00,4.45757156,6344441.50719,7.2e-07,7e-07,1476230400.0,7e-07,7e-07,7.1e-07
2016-10-12 04:00:00,6.65780238,9474734.4596,7.1e-07,7e-07,1476244800.0,7e-07,7e-07,7e-07
2016-10-12 08:00:00,12.58739578,18370819.0509,7.1e-07,6.8e-07,1476259200.0,6.8e-07,6.8e-07,7e-07
2016-10-12 12:00:00,10.30873735,15187543.3269,6.9e-07,6.7e-07,1476273600.0,6.8e-07,6.7e-07,6.8e-07
2016-10-12 16:00:00,32.87393623,49708946.7236,6.9e-07,6.1e-07,1476288000.0,6.8e-07,6.6e-07,6.9e-07
2016-10-12 20:00:00,15.47289885,22923119.2896,7e-07,6.5e-07,1476302400.0,6.7e-07,6.7e-07,6.8e-07
2016-10-13 00:00:00,11.99721647,17343314.999,7e-07,6.6e-07,1476316800.0,6.8e-07,6.9e-07,6.8e-07
2016-10-13 04:00:00,12.60173369,17818565.1268,7.3e-07,6.7e-07,1476331200.0,7.3e-07,7e-07,6.8e-07
2016-10-13 08:00:00,13.82755729,19857205.3959,7.2e-07,6.8e-07,1476345600.0,7.1e-07,6.9e-07,7.2e-07
2016-10-13 12:00:00,4.97468845,7264891.89831,7e-07,6.8e-07,1476360000.0,6.8e-07,6.8e-07,6.9e-07
2016-10-13 16:00:00,5.83367326,8716658.64882,6.9e-07,6.5e-07,1476374400.0,6.5e-07,6.6e-07,6.9e-07
2016-10-13 20:00:00,10.60993471,16115954.3657,6.8e-07,6.5e-07,1476388800.0,6.7e-07,6.5e-07,6.6e-07
2016-10-14 00:00:00,10.11447267,14874228.8006,6.9e-07,6.6e-07,1476403200.0,6.7e-07,6.7e-07,6.7e-07
2016-10-14 04:00:00,4.82716656,7181846.12586,6.9e-07,6.6e-07,1476417600.0,6.8e-07,6.7e-07,6.7e-07
2016-10-14 08:00:00,2.09148844,3092081.23157,6.9e-07,6.7e-07,1476432000.0,6.7e-07,6.7e-07,6.8e-07
2016-10-14 12:00:00,1.83132415,2709104.24889,6.9e-07,6.7e-07,1476446400.0,6.8e-07,6.7e-07,6.7e-07
2016-10-14 16:00:00,7.99276952,11671574.3563,6.9e-07,6.7e-07,1476460800.0,6.8e-07,6.8e-07,6.8e-07
2016-10-14 20:00:00,3.33557854,4891720.38112,7e-07,6.7e-07,1476475200.0,6.9e-07,6.8e-07,6.8e-07
2016-10-15 00:00:00,1.81836488,2691761.58751,6.9e-07,6.7e-07,1476489600.0,6.7e-07,6.7e-07,6.9e-07
2016-10-15 04:00:00,2.60800569,3891839.78322,6.8e-07,6.7e-07,1476504000.0,6.7e-07,6.7e-07,6.7e-07
2016-10-15 08:00:00,4.1660929,6247489.58568,6.8e-07,6.6e-07,1476518400.0,6.7e-07,6.6e-07,6.8e-07
2016-10-15 12:00:00,7.70917703,11534856.1143,6.8e-07,6.6e-07,1476532800.0,6.6e-07,6.6e-07,6.7e-07
2016-10-15 16:00:00,4.38747064,6606559.04483,6.7e-07,6.6e-07,1476547200.0,6.6e-07,6.6e-07,6.6e-07
